supplier_id,supplier_name,contact_person,email,phone,address_line1,address_line2,city,county,postcode,country,product_category,minimum_order,credit_terms,delivery_days,rating,active,last_order_date
14,Dress Up & Role Play,Daniel Harris,daniel.h@dressupplay.co.uk,01223 098654,71 Costume Way,Unit 9,Cambridge,cambridgeshire,CB4 3NM,United Kingdom,Costumes,150.00,30 days,3-5,4.6,yes,2024-08-19
15,Musical Instruments For Kids,Grace Anderson,grace@musickids.co.uk,023 8087 6543,34 Melody Lane,,Southampton,Hampshire,SO16 3PY,United Kingdom,Musical Toys,£300.00,45 days,5-7,4.2,TRUE,2024-09-03
16,  Toys R Fun Ltd  ,Sarah Mitchell,sarah@toysrfun.co.uk,020 7946 1234,45 Warehouse Road,,London,Greater London,E1 6AN,United Kingdom,Plush Toys,£250.00,30 days,3-5,4.5,TRUE,2024-01-15
17,remote control specialists,Peter Johnson,p.johnson@rcspecialists.co.uk,0114 765 4321,89 Control Center,Building B,Sheffield,south yorkshire,S9 2EP,United Kingdom,RC Toys,£450.00,  60 days  ,7-10,,TRUE,2024-09-15
18,DOLL HOUSE SUPPLIES,Jennifer Lee,jennifer@dollhousesupplies.co.uk,0116 654 3210,12 Miniature Road,,Leicester,Leicestershire,LE2 7HG,United Kingdom,Dolls & Accessories,$325.00,net 30,5-7,4.7,1,2024-10-01
19,Party & Novelty Toys,Mark Thompson,m.thompson@partytoys.co.uk, 01752 543 2109 ,45 Celebration Street,Unit 12,Plymouth,Devon,PL4 6AB,United Kingdom,Party Toys,£175.00,30 days,3-5,4.3,yes,2024-10-15
20,Sports Toys & Equipment,Laura Wilson,l.wilson@sportstoys.co.uk,01332 432 1098,67 Athletic Way,,Derby,derbyshire,DE24 8UP,United Kingdom,Sports Toys,200.00,45 days,5-7,4.5,TRUE,2024-11-01
21,vintage toy COLLECTORS,Robert Davies,robert@vintagetoys.co.uk,01482 321 0987,23 Heritage Lane,Shop 5,Hull,East Riding of Yorkshire,HU2 8DH,United Kingdom,Vintage Toys,£500.00,  net 60  ,10-14,4.8,TRUE,2024-11-15
22,STEAM Learning Toys,Victoria Brown,v.brown@steamlearning.co.uk,01902 210876,78 Education Drive,,Wolverhampton,West Midlands,WV1 1RE,United Kingdom,STEM Toys,£275.00,45 days,-5,4.4,yes,2024-12-01
23,bath & water toys ltd,Andrew Wilson,andrew@watertoys.co.uk,01793 109765,56 Splash Street,Unit 3A,Swindon,Wiltshire,SN2 1DY,United Kingdom,Water Toys,$125.00,30 days,3-5,4.1,1,2024-12-15
24,Wooden Toy Makers,Catherine Taylor,c.taylor@woodentoys.co.uk, 01223 098 654,34 Craftsman Road,,Cambridge,Cambridgeshire,CB5 8PQ,United Kingdom,Wooden Toys,£350.00,  net 45  ,7-10,4.9,TRUE,
25,magic & tricks wholesale,Steven Evans,steven@magictricks.co.uk,0118 987 6543,89 Illusion Avenue,Suite 7,Reading,Berkshire,RG1 1AX,United Kingdom,Magic Sets,150,45 days,5-7,4.2,TRUE,2025-01-10
