product_code,product_name,category,subcategory,description,unit_price,unit_of_measure,stock_quantity,reorder_level,supplier_name,supplier_sku,weight_kg,dimensions_cm,material,color,is_active
CS-BLEND-001,Commercial Blender 1000W,Small Appliances,Blenders,Heavy-duty blender with 2L glass jar,159.99,each,15,5,Kitchen Tech Solutions,KTS-CB-1000,4.2,20 x 22 x 43,Metal-Glass,Chrome,TRUE
cs-toast-001,4-Slice Toaster Commercial,Small Appliances,Toasters,Wide-slot toaster for artisan breads,79.99,each,18,6,Kitchen Tech Solutions,KTS-TS-4S,2.8,30 x 18 x 20,Stainless Steel,silver,1
CS-COFFEE-001,Coffee Maker 12-Cup Programmable,Small Appliances,Coffee Makers,Programmable drip coffee maker,89.99,each,22,6,Kitchen Tech Solutions,KTS-CM-12,3.5,23 x 35 x 38,Plastic-Glass,Black,TRUE
CS-MICRO-001,Microwave Oven Commercial 1.2CF,Large Appliances,Microwaves,1200W commercial microwave,null,each,8,2,AppliancePro Corp,APC-MW-12,18.5,55 x 45 x 32,Stainless Steel,Silver,TRUE
CS-WARM-001,Food Warmer 3-Tray Buffet,Large Appliances,Warmers,Electric buffet server with 3 trays,199.99,each,12,3,AppliancePro Corp,APC-FW-3T,8.750,65 x 35 x 25,Stainless Steel,Silver,1
CS-GRILL-001,Contact Grill Panini Press,Small Appliances,Grills,Commercial panini press with ribbed plates,149.99,each,10,3,Kitchen Tech Solutions,KTS-PP-001,12.5,40 x 35 x 18,Stainless Steel,Silver,yes
CS-SLICER-001,Food Slicer Electric,Small Appliances,Slicers,Adjustable thickness electric food slicer,189.99,each,8,2,Kitchen Tech Solutions,KTS-FS-001,9.2,38 x 32 x 30,Metal-Plastic,Silver,TRUE
CS-STAND-001,Mixer Stand for Hand Mixer,Small Appliances,Accessories,Compatible stand for CS-MIXER-001,$19.99,each,25,8,Kitchen Tech Solutions,KTS-MS-001,0.650,20 x 15 x 25,Plastic,White,1
CS-RACK-001,3-Tier Cooling Rack,Baking,Racks,Stackable cooling racks - set of 3,29.99,set,45,12,Kitchen Essentials Inc,KEI-CR-3T,1.250,40 x 25 x 3 each,Stainless Steel,Silver,TRUE
CS-SHEET-001,Baking Sheet Pan 18x26",Baking,Pans,Commercial half-sheet aluminum pan,16.99,each,70,15,Kitchen Essentials Inc,KEI-BS-1826,0.850,45.7 x 66 x 2.5,Aluminum,Silver,yes
CS-MUFFIN-001,Muffin Pan 12-Cup Non-Stick,Baking,Pans,Standard 12-cup muffin/cupcake pan,22.99,each,50,12,Kitchen Essentials Inc,KEI-MP-12,0.680,35 x 26 x 3.5,Aluminized Steel,Dark Gray,TRUE
