part_code,part_name,category,brand,description,unit_price,unit_of_measure,stock_quantity,reorder_level,supplier_name,supplier_sku,weight_kg,dimensions_cm,material,color,warranty_months,is_active,date_added
MB-TANK-001,Tank Pad,Accessories,TechSpec,Rubber tank grip pad snake skin,45.99,each,75,20,AccessoryWorld,AW-TS-TP,0.18,18 x 12 x 0.3,Rubber,black,null,YES,2024-08-01
MB-STAND-001, Rear Paddock Stand ,Maintenance Tools,PITBULL,Heavy duty rear paddock stand,$185.00,each,28,8,ToolMaster Pro,TMP-PB-RS,6.5,null,Steel,Red,24,1,01/08/2024
MB-STAND-002,Front Headlift Stand,Maintenance Tools,Pitbull,Front lift stand with pin adapter,210.99,Each,22,6,ToolMaster Pro,TMP-PB-FS,7.2,45 x 38 x 35,steel,red,24,TRUE,2024-08-15
MB-TOOL-001, Socket Set 3/8" ,Tools,SNAP-ON,Professional socket set 32pc,275.00,set,18,5,ToolMaster Pro,TMP-SO-SS38,3.8,Case: 35 x 25 x 6,Chrome Vanadium,Silver,lifetime,true,15/08/2024
MB-COVER-001,Motorcycle Cover XL,Accessories,Dowco,Weatherproof cover for cruisers,89.99,each,55,15,AccessoryWorld,AW-DC-XL,1.45,Fits bikes up to 250cm,Polyester,Grey,12,1,2024-09-01
MB-ALARM-001, Security Alarm ,Security,XENA,Disc lock alarm 120db,119.99,each,40,12,SecureMoto Inc,SMI-XE-DA,0.65,null,Steel-Electronics,Black/Yellow,24,YES,01/09/2024
MB-COMM-001,Bluetooth Intercom,Electronics,SENA,Mesh intercom system single pack,299.99,each,32,10,TechRider Solutions,TRS-SE-BT,0.25,8 x 6 x 3,Plastic-Electronics,Matte Black,24,TRUE,2024-09-15
MB-VISOR-001, Helmet Visor Clear ,Accessories,shoei,Clear replacement visor anti-fog,$85.00,each,68,20,Rider Safety Pro,RSP-SV-CLR,0.22,30 x 22 x 0.3,Polycarbonate,Clear,null,1,15/09/2024
MB-PEGS-001,Rear Foot Pegs,Controls,Vortex,Adjustable rear foot pegs aluminum,135.99,pair,35,10,PerformancePlus,PP-VX-RFP,0.85,12 x 4 x 3 each,Aluminum,Black,12,true,2024-10-01
MB-LEVER-001,Brake Lever,Controls,pazzos,Short adjustable brake lever CNC,89.99,each,45,15,PerformancePlus,PP-PZ-BL,0.18,16 x 3 x 2,aluminum,Red,12,TRUE,01/10/2024
MB-LEVER-001,Clutch Lever,Controls,PAZZOS,Short adjustable clutch lever CNC,89.99,each,42,15,PerformancePlus,PP-PZ-CL,0.18,16 x 3 x 2,Aluminum,Blue,12,1,2024-10-01
MB-GRIP-001, Heated Grips ,Controls,Oxford,Heated handlebar grips with controller,95.99,pair,38,12,ControlTech Supplies,CTS-OX-HG,0.45,12 x 3 x 3 each,Rubber-Heating Element,Black,24,yes,01/10/2024
MB-PLUG-001,Spark Plug,Engine Parts,NGK,Iridium spark plug CR9EIA-9,12.99,each,250,60,EngineMasters,EM-NGK-SP9,0.045,1.4 x 1.4 x 6,Iridium-Ceramic,Silver,null,TRUE,2024-10-15
MB-GASKET-001,Head Gasket,Engine Parts,Cometic,Multi-layer steel head gasket,145.99,each,28,8,EngineMasters,EM-CM-HG,0.25,null,Multi-layer Steel,Silver,12,1,15/10/2024
MB-COOLANT-001, Coolant 1L ,Fluids & Lubes,Engine Ice,High performance coolant 1 liter,$19.99,each,180,40,FluidTech Solutions,FTS-EI-C1,1.05,8 x 8 x 24,Propylene Glycol,blue,N/A,TRUE,2024-11-01
MB-BOOT-001,Touring Boots Size 43,Footwear,SIDI,Waterproof touring boots CE approved,349.99,pair,15,5,GearUp Distribution,GUD-SI-TB43,1.95,Size 43 EUR,Leather-Textile,Black,12,true,01/11/2024
MB-PANTS-001, Riding Jeans 34W ,Riding Gear,Rev'it!,Aramid lined jeans with knee armor,275.00,each,18,6,GearUp Distribution,GUD-RV-RJ34,0.85,Waist 34" Length 32",Denim-Aramid,Blue,12,1,2024-11-15
MB-EXHAUST-001,Slip-On Exhaust,Exhaust Systems,akrapovic,Titanium slip-on exhaust system,$1299.99,each,8,3,PerformancePlus,PP-AK-SE,3.2,Muffler 45cm length,Titanium-Carbon,Silver/Carbon,24,TRUE,15/11/2024
